game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,21-050,NOP,@,TOR,L (-8),0,11:55,1,10,.100,1,7,.143,0,0,,1,3,4,2,2,0,1,2,3,-0.4,+6
2,2019-10-25,21-053,NOP,,DAL,L (-7),0,14:47,2,9,.222,2,5,.400,0,0,,0,1,1,6,0,0,1,1,6,3.6,+7
3,2019-10-26,21-054,NOP,@,HOU,L (-3),0,12:21,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,1,2,2,-1.9,-3
4,2019-10-28,21-056,NOP,,GSW,L (-11),0,23:45,6,11,.545,2,4,.500,1,2,.500,0,4,4,9,1,0,1,2,15,16.0,+6
5,2019-10-31,21-059,NOP,,DEN,W (+15),0,12:20,0,5,.000,0,3,.000,0,0,,1,4,5,3,0,0,0,2,0,-0.3,+5
6,2019-11-02,21-061,NOP,@,OKC,L (-11),0,7:55,1,5,.200,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,2,4,0.4,-6
7,2019-11-04,21-063,NOP,@,BRK,L (-10),0,4:17,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-1
8,2019-11-08,21-067,NOP,,TOR,L (-18),0,16:19,4,8,.500,3,5,.600,2,2,1.000,0,2,2,4,0,0,2,2,13,9.6,+5
9,2019-11-09,21-068,NOP,@,CHO,W (+5),0,8:21,2,4,.500,1,2,.500,0,0,,0,2,2,0,0,0,5,2,5,-2.2,-6
10,2019-11-11,21-070,NOP,,HOU,L (-6),0,11:18,1,4,.250,0,1,.000,0,0,,0,0,0,0,1,0,2,2,2,-2.2,-9
