game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-033,MEM,@,MIA,L (-19),0,20:50,2,4,.500,0,1,.000,0,0,,3,5,8,0,1,0,1,2,4,4.8,-7
2,2019-10-25,26-035,MEM,,CHI,L (-8),0,20:12,4,6,.667,1,1,1.000,0,2,.000,0,5,5,5,1,1,0,0,9,12.3,+3
3,2019-10-27,26-037,MEM,,BRK,W (+1),0,23:41,4,6,.667,0,0,,5,6,.833,1,3,4,1,2,2,0,4,13,14.1,+5
4,2019-10-29,26-039,MEM,@,LAL,L (-29),0,16:55,1,4,.250,0,0,,0,0,,0,3,3,2,0,0,1,1,2,0.5,-19
5,2019-11-02,26-043,MEM,,PHO,L (-9),0,19:33,3,7,.429,0,2,.000,2,4,.500,0,4,4,2,0,2,2,1,8,5.1,-8
6,2019-11-04,26-045,MEM,,HOU,L (-7),0,24:52,4,9,.444,0,2,.000,2,2,1.000,2,3,5,1,1,0,0,0,10,9.3,-10
7,2019-11-06,26-047,MEM,,MIN,W (+16),0,18:57,3,4,.750,0,0,,1,2,.500,0,3,3,4,0,0,1,4,7,6.1,+4
8,2019-11-08,26-049,MEM,@,ORL,L (-32),0,20:35,1,4,.250,1,2,.500,1,2,.500,0,1,1,3,1,0,1,2,4,2.8,-9
9,2019-11-09,26-050,MEM,,DAL,L (-16),0,26:28,6,8,.750,0,1,.000,0,0,,1,4,5,3,1,1,0,3,12,13.3,-2
10,2019-11-11,26-052,MEM,@,SAS,W (+4),0,17:51,0,2,.000,0,1,.000,3,4,.750,0,3,3,2,0,2,2,2,3,2.1,-6
