game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-24,31-171,HOU,,MIL,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,31-173,HOU,,NOP,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,31-175,HOU,,OKC,W (+4),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-30,31-177,HOU,@,WAS,W (+1),0,4:08,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.9,-4
,2019-11-01,31-179,HOU,@,BRK,L (-7),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-03,31-181,HOU,@,MIA,L (-29),0,9:50,1,5,.200,0,3,.000,0,0,,0,6,6,2,1,0,1,0,2,2.1,+11
,2019-11-04,31-182,HOU,@,MEM,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,31-184,HOU,,GSW,W (+17),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,31-187,HOU,@,CHI,W (+23),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,31-189,HOU,@,NOP,W (+6),,,,,,,,,,,,,,,,,,,,,,
