game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-24,27-098,MIL,@,HOU,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,27-100,MIL,,MIA,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,27-102,MIL,,CLE,W (+17),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,27-104,MIL,@,BOS,L (-11),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,27-106,MIL,@,ORL,W (+32),0,6:27,1,2,.500,0,0,,0,0,,2,0,2,1,0,0,0,0,2,3.1,+4
,2019-11-02,27-107,MIL,,TOR,W (+10),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,27-109,MIL,@,MIN,W (+28),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,27-111,MIL,@,LAC,W (+5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,27-113,MIL,@,UTA,L (-3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,27-115,MIL,@,OKC,W (+2),,,,,,,,,,,,,,,,,,,,,,
