game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,22-097,TOR,,NOP,W (+8),1,35:48,5,12,.417,1,4,.250,0,1,.000,3,4,7,0,0,2,1,3,11,6.7,+12
2,2019-10-25,22-100,TOR,@,BOS,L (-6),1,37:46,4,5,.800,1,2,.500,0,0,,1,7,8,0,0,1,2,6,9,6.2,-4
3,2019-10-26,22-101,TOR,@,CHI,W (+24),1,25:32,7,11,.636,3,6,.500,0,0,,2,4,6,2,1,4,1,1,17,18.5,+25
4,2019-10-28,22-103,TOR,,ORL,W (+9),1,38:12,5,11,.455,2,4,.500,0,0,,0,8,8,2,5,2,0,2,12,15.7,+8
5,2019-10-30,22-105,TOR,,DET,W (+12),1,36:41,6,10,.600,1,2,.500,0,0,,2,6,8,0,2,0,2,3,13,10.4,+19
6,2019-11-02,22-108,TOR,@,MIL,L (-10),1,31:04,3,5,.600,2,4,.500,1,2,.500,2,1,3,4,2,0,1,1,9,11.4,-11
7,2019-11-06,22-112,TOR,,SAC,W (+4),1,37:25,7,10,.700,3,4,.750,1,3,.333,0,6,6,5,0,3,0,3,18,19.2,+7
8,2019-11-08,22-114,TOR,@,NOP,W (+18),1,29:35,7,13,.538,5,7,.714,2,2,1.000,2,5,7,4,1,1,1,2,21,20.3,+12
9,2019-11-10,22-116,TOR,@,LAL,W (+9),1,26:21,2,6,.333,1,3,.333,2,2,1.000,0,3,3,0,1,0,1,3,7,3.3,-4
10,2019-11-11,22-117,TOR,@,LAC,L (-10),1,1:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-4
