game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,25-211,CHI,@,CHO,L (-1),0,10:56,2,3,.667,2,2,1.000,0,0,,3,0,3,1,1,0,0,1,6,8.1,-11
2,2019-10-25,25-213,CHI,@,MEM,W (+8),0,14:41,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.2,-2
3,2019-10-26,25-214,CHI,,TOR,L (-24),0,17:45,2,2,1.000,1,1,1.000,1,1,1.000,1,1,2,4,1,0,0,2,6,9.4,+1
4,2019-10-28,25-216,CHI,@,NYK,L (-7),0,15:55,2,3,.667,1,2,.500,0,0,,0,3,3,2,0,0,1,2,5,4.2,-6
5,2019-10-30,25-218,CHI,@,CLE,L (-6),0,16:06,0,2,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,0.9,0
6,2019-11-01,25-220,CHI,,DET,W (+6),0,15:46,2,6,.333,2,4,.500,0,0,,0,0,0,3,0,0,0,1,6,4.3,-4
7,2019-11-03,25-222,CHI,@,IND,L (-13),0,17:24,1,4,.250,1,2,.500,3,4,.750,0,2,2,1,1,1,0,6,6,3.8,-4
8,2019-11-05,25-224,CHI,,LAL,L (-6),0,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
9,2019-11-06,25-225,CHI,@,ATL,W (+20),0,18:20,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,1,0,0,1,4,5.3,0
10,2019-11-09,25-228,CHI,,HOU,L (-23),0,15:54,1,4,.250,0,1,.000,0,0,,1,3,4,1,1,0,2,3,2,-0.3,-3
