game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,31-347,ORL,,CLE,W (+9),1,24:34,4,9,.444,1,2,.500,0,0,,0,3,3,5,0,0,0,0,9,8.7,+6
2,2019-10-26,31-350,ORL,@,ATL,L (-4),1,23:41,5,11,.455,0,1,.000,4,4,1.000,2,0,2,4,0,0,1,0,14,11.5,-14
3,2019-10-28,31-352,ORL,@,TOR,L (-9),1,25:41,3,9,.333,1,3,.333,3,5,.600,0,3,3,1,1,0,1,2,10,4.9,0
4,2019-10-30,31-354,ORL,,NYK,W (+12),1,27:52,2,6,.333,1,4,.250,0,0,,0,1,1,7,0,0,0,1,5,6.4,+17
5,2019-11-01,31-356,ORL,,MIL,L (-32),1,23:05,2,5,.400,0,1,.000,0,0,,0,0,0,6,0,0,1,0,4,4.5,-17
6,2019-11-02,31-357,ORL,,DEN,L (-4),0,24:39,2,6,.333,0,1,.000,0,0,,1,0,1,3,0,0,2,1,4,1.0,-3
7,2019-11-05,31-360,ORL,@,OKC,L (-8),0,27:00,3,10,.300,0,4,.000,7,8,.875,0,1,1,2,0,0,0,1,13,8.1,+8
8,2019-11-06,31-361,ORL,@,DAL,L (-1),0,28:28,4,6,.667,2,3,.667,3,3,1.000,0,0,0,6,2,0,4,2,13,11.8,-11
9,2019-11-08,31-363,ORL,,MEM,W (+32),0,24:19,5,11,.455,1,3,.333,2,2,1.000,2,1,3,2,0,0,1,1,13,9.0,+14
10,2019-11-10,32-000,ORL,,IND,L (-7),0,23:36,4,10,.400,0,2,.000,0,0,,0,2,2,6,1,0,0,1,8,8.0,-12
