game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-054,CHO,,CHI,W (+1),1,33:06,8,21,.381,2,8,.250,4,6,.667,1,4,5,3,2,0,2,2,22,12.9,-3
2,2019-10-25,24-056,CHO,,MIN,L (-22),1,20:54,4,11,.364,0,1,.000,0,3,.000,0,4,4,2,0,0,1,3,8,1.1,-4
3,2019-10-27,24-058,CHO,@,LAL,L (-19),1,36:40,6,15,.400,1,5,.200,2,2,1.000,2,4,6,2,0,0,1,5,15,7.9,-11
4,2019-10-28,24-059,CHO,@,LAC,L (-15),1,22:16,1,6,.167,1,2,.500,2,2,1.000,0,4,4,1,0,0,2,3,5,-0.1,-22
5,2019-10-30,24-061,CHO,@,SAC,W (+7),1,24:49,1,8,.125,1,4,.250,0,0,,0,2,2,2,2,0,3,2,3,-2.0,+7
6,2019-11-02,24-064,CHO,@,GSW,W (+6),1,37:21,10,21,.476,0,2,.000,5,5,1.000,3,3,6,2,2,0,0,1,25,20.3,+15
7,2019-11-05,24-067,CHO,,IND,W (+2),1,13:21,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-3.9,-14
8,2019-11-07,24-069,CHO,,BOS,L (-21),1,21:09,3,9,.333,1,3,.333,1,2,.500,1,3,4,1,1,1,3,1,8,3.1,-8
9,2019-11-09,24-071,CHO,,NOP,L (-5),1,26:58,5,11,.455,2,4,.500,0,0,,0,1,1,3,1,0,4,3,12,4.5,-13
10,2019-11-10,24-072,CHO,@,PHI,L (-8),1,16:30,0,6,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,1,2,1,-5.1,-20
