game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-164,ORL,,CLE,W (+9),0,13:47,3,5,.600,1,3,.333,0,0,,1,6,7,1,1,0,0,1,7,8.5,+7
2,2019-10-26,21-167,ORL,@,ATL,L (-4),0,13:38,1,3,.333,0,1,.000,0,0,,1,4,5,0,0,1,1,0,2,1.9,+2
3,2019-10-28,21-169,ORL,@,TOR,L (-9),0,13:11,2,7,.286,1,2,.500,0,0,,0,2,2,1,0,0,1,3,5,0.0,+1
4,2019-10-30,21-171,ORL,,NYK,W (+12),0,14:09,4,7,.571,1,2,.500,0,0,,1,2,3,0,0,0,0,1,9,6.6,-12
,2019-11-01,21-173,ORL,,MIL,L (-32),,,,,,,,,,,,,,,,,,,,,,
5,2019-11-02,21-174,ORL,,DEN,L (-4),0,10:03,0,3,.000,0,1,.000,1,2,.500,1,5,6,0,0,1,2,6,1,-3.0,0
6,2019-11-05,21-177,ORL,@,OKC,L (-8),0,14:11,3,8,.375,1,3,.333,0,2,.000,2,5,7,0,0,2,1,3,7,3.9,+8
,2019-11-06,21-178,ORL,@,DAL,L (-1),,,,,,,,,,,,,,,,,,,,,,
7,2019-11-08,21-180,ORL,,MEM,W (+32),0,13:02,2,7,.286,0,3,.000,0,0,,3,0,3,1,1,1,0,2,4,3.6,+1
8,2019-11-10,21-182,ORL,,IND,L (-7),0,13:15,2,7,.286,1,2,.500,0,0,,2,1,3,0,1,4,1,0,5,5.4,-1
