game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,35-119,DAL,,WAS,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,35-121,DAL,@,NOP,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,35-123,DAL,,POR,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-29,35-125,DAL,@,DEN,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,35-128,DAL,,LAL,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,35-130,DAL,@,CLE,W (+20),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-06,35-133,DAL,,ORL,W (+1),0,15:45,3,6,.500,3,4,.750,2,2,1.000,1,0,1,3,0,0,2,0,11,8.8,0
,2019-11-08,35-135,DAL,,NYK,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,35-136,DAL,@,MEM,W (+16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,35-138,DAL,@,BOS,L (-10),,,,,,,,,,,,,,,,,,,,,,
