game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,19-131,NYK,@,SAS,L (-9),1,37:07,9,13,.692,1,3,.333,2,4,.500,0,5,5,2,2,0,3,3,21,15.4,-2
2,2019-10-25,19-133,NYK,@,BRK,L (-4),1,35:40,7,16,.438,2,4,.500,0,3,.000,0,3,3,3,6,0,5,4,16,8.8,0
3,2019-10-26,19-134,NYK,,BOS,L (-23),1,36:34,9,21,.429,4,6,.667,4,7,.571,3,4,7,3,0,0,4,3,26,13.9,-9
4,2019-10-28,19-136,NYK,,CHI,W (+7),1,40:02,7,15,.467,0,2,.000,5,11,.455,6,9,15,5,0,1,2,3,19,16.8,+5
5,2019-10-30,19-138,NYK,@,ORL,L (-12),1,30:45,4,11,.364,1,4,.250,0,2,.000,0,2,2,2,0,0,2,2,9,1.3,-20
6,2019-11-01,19-140,NYK,@,BOS,L (-2),1,39:07,5,17,.294,1,4,.250,4,6,.667,2,5,7,5,1,1,2,3,15,9.2,-2
7,2019-11-03,19-142,NYK,,SAC,L (-21),1,40:44,8,20,.400,1,5,.200,5,9,.556,1,3,4,3,1,1,2,0,22,13.0,-22
8,2019-11-06,19-145,NYK,@,DET,L (-20),1,33:42,4,12,.333,1,2,.500,6,11,.545,0,6,6,8,2,0,3,3,15,11.4,-23
9,2019-11-08,19-147,NYK,@,DAL,W (+4),1,34:55,1,9,.111,0,1,.000,1,6,.167,0,8,8,4,0,0,1,3,3,-1.9,-8
10,2019-11-10,19-149,NYK,,CLE,L (-21),1,24:16,4,11,.364,1,4,.250,0,2,.000,0,1,1,1,1,0,3,3,9,-0.1,-21
