game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,30-313,CHO,,CHI,W (+1),0,11:12,0,0,,0,0,,0,0,,1,3,4,2,0,0,2,2,0,0.2,+1
,2019-10-25,30-315,CHO,,MIN,L (-22),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,30-317,CHO,@,LAL,L (-19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,30-318,CHO,@,LAC,L (-15),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,30-320,CHO,@,SAC,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,30-323,CHO,@,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,30-326,CHO,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,30-328,CHO,,BOS,L (-21),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,30-330,CHO,,NOP,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,30-331,CHO,@,PHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
