game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,30-114,POR,,DEN,L (-8),0,24:32,1,7,.143,0,3,.000,2,2,1.000,1,1,2,0,5,0,0,2,4,4.7,-11
2,2019-10-25,30-116,POR,@,SAC,W (+10),0,23:32,4,7,.571,1,3,.333,0,0,,0,8,8,5,0,2,1,5,9,10.0,+17
3,2019-10-27,30-118,POR,@,DAL,W (+2),0,30:25,4,8,.500,1,2,.500,2,3,.667,0,5,5,1,0,0,3,4,11,4.2,+2
4,2019-10-28,30-119,POR,@,SAS,L (-3),0,24:09,1,9,.111,0,3,.000,1,2,.500,1,2,3,1,0,3,2,6,3,-3.6,-20
5,2019-10-30,30-121,POR,@,OKC,W (+3),0,20:48,5,9,.556,3,4,.750,1,2,.500,0,5,5,0,0,0,1,5,14,7.8,-1
6,2019-11-02,30-124,POR,,PHI,L (-1),0,25:56,2,5,.400,1,1,1.000,2,4,.500,0,6,6,1,2,2,2,4,7,5.8,-18
7,2019-11-04,30-126,POR,@,GSW,L (-9),0,22:21,3,10,.300,1,6,.167,0,0,,0,6,6,1,1,0,2,3,7,1.5,-11
8,2019-11-07,30-129,POR,@,LAC,L (-6),0,13:21,3,7,.429,2,6,.333,0,0,,0,2,2,3,1,0,1,4,8,5.4,-1
9,2019-11-08,30-130,POR,,BRK,L (-4),0,18:50,1,2,.500,1,1,1.000,0,0,,0,3,3,2,0,0,2,2,3,1.5,-5
10,2019-11-10,30-132,POR,,ATL,W (+11),1,33:36,5,13,.385,3,6,.500,0,0,,1,7,8,0,2,2,2,5,13,8.1,+25
