game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,19-133,OKC,@,UTA,L (-5),0,19:15,0,3,.000,0,1,.000,0,0,,0,3,3,0,0,1,1,2,0,-2.3,-6
2,2019-10-25,19-135,OKC,,WAS,L (-12),0,15:04,2,3,.667,0,0,,1,2,.500,0,2,2,0,1,0,0,0,5,4.9,-8
3,2019-10-27,19-137,OKC,,GSW,W (+28),0,26:19,2,3,.667,1,2,.500,0,0,,0,7,7,2,0,0,4,1,5,2.8,+6
4,2019-10-28,19-138,OKC,@,HOU,L (-4),0,11:39,1,2,.500,1,2,.500,0,0,,0,4,4,1,0,0,1,1,3,2.5,-1
5,2019-10-30,19-140,OKC,,POR,L (-3),0,12:36,0,0,,0,0,,0,0,,0,2,2,0,0,0,2,1,0,-1.8,-7
6,2019-11-02,19-143,OKC,,NOP,W (+11),0,18:45,5,10,.500,3,6,.500,4,4,1.000,2,3,5,0,0,1,1,0,17,14.0,+6
7,2019-11-05,19-146,OKC,,ORL,W (+8),0,23:45,4,11,.364,2,5,.400,0,0,,0,6,6,1,2,0,0,2,10,7.6,0
8,2019-11-07,19-148,OKC,@,SAS,L (-9),0,15:50,0,4,.000,0,4,.000,0,0,,0,4,4,1,0,0,0,0,0,-0.9,+4
9,2019-11-09,19-150,OKC,,GSW,W (+6),0,17:33,3,4,.750,3,3,1.000,0,0,,0,3,3,1,0,0,2,1,9,6.6,+2
10,2019-11-10,19-151,OKC,,MIL,L (-2),0,18:13,0,2,.000,0,2,.000,0,2,.000,0,4,4,2,0,1,1,1,0,-0.3,-1
