game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,24-289,MIN,@,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,24-291,MIN,@,CHO,W (+22),0,4:51,2,2,1.000,0,0,,0,0,,1,4,5,0,0,0,0,1,4,4.9,-3
,2019-10-27,24-293,MIN,,MIA,W (+7),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-30,24-296,MIN,@,PHI,L (-22),0,12:15,2,4,.500,0,0,,1,1,1.000,2,2,4,0,0,0,3,1,5,1.6,+4
3,2019-11-02,24-299,MIN,@,WAS,W (+22),0,11:15,1,1,1.000,0,0,,0,0,,0,4,4,2,0,1,4,1,2,0.6,-18
4,2019-11-04,24-301,MIN,,MIL,L (-28),0,14:31,4,6,.667,0,1,.000,4,4,1.000,2,4,6,3,0,0,2,1,12,11.7,-2
,2019-11-06,24-303,MIN,@,MEM,L (-16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,24-305,MIN,,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,24-307,MIN,,DEN,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,24-308,MIN,@,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
