game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,31-102,LAC,,LAL,W (+10),1,31:22,1,7,.143,0,5,.000,0,0,,2,8,10,6,0,1,2,4,2,2.6,+13
2,2019-10-24,31-104,LAC,@,GSW,W (+19),1,28:14,2,4,.500,1,3,.333,0,0,,0,4,4,3,5,0,2,3,5,8.1,+20
3,2019-10-26,31-106,LAC,@,PHO,L (-8),1,29:49,4,8,.500,1,5,.200,2,4,.500,2,5,7,1,2,0,2,6,11,7.4,-6
4,2019-10-28,31-108,LAC,,CHO,W (+15),1,31:06,2,9,.222,1,6,.167,0,0,,1,4,5,4,2,0,3,3,5,2.0,+24
5,2019-10-30,31-110,LAC,@,UTA,L (-14),1,25:23,4,13,.308,0,4,.000,0,0,,1,2,3,0,1,0,2,0,8,0.8,-13
6,2019-10-31,31-111,LAC,,SAS,W (+6),1,32:21,3,7,.429,1,3,.333,1,2,.500,0,4,4,5,0,0,0,3,8,7.4,-4
7,2019-11-03,31-114,LAC,,UTA,W (+11),1,33:08,2,7,.286,0,5,.000,0,0,,2,7,9,3,2,1,1,4,4,5.6,+4
8,2019-11-06,31-117,LAC,,MIL,L (-5),1,35:08,6,9,.667,3,4,.750,5,5,1.000,1,9,10,3,2,1,3,4,20,19.7,+3
9,2019-11-07,31-118,LAC,,POR,W (+6),1,30:48,1,5,.200,0,1,.000,0,0,,0,4,4,4,1,2,1,5,2,2.3,+9
10,2019-11-11,31-122,LAC,,TOR,W (+10),1,23:46,2,6,.333,0,3,.000,2,4,.500,3,9,12,2,1,0,2,2,6,6.2,+8
