game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,27-025,ORL,,CLE,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,27-028,ORL,@,ATL,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,27-030,ORL,@,TOR,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,27-032,ORL,,NYK,W (+12),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,27-034,ORL,,MIL,L (-32),0,22:55,0,3,.000,0,1,.000,1,4,.250,2,3,5,0,1,0,0,1,1,0.6,-29
2,2019-11-02,27-035,ORL,,DEN,L (-4),0,4:03,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+1
,2019-11-05,27-038,ORL,@,OKC,L (-8),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-06,27-039,ORL,@,DAL,L (-1),0,14:31,1,2,.500,0,0,,1,4,.250,1,2,3,0,0,0,0,2,3,1.3,-6
4,2019-11-08,27-041,ORL,,MEM,W (+32),0,3:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
,2019-11-10,27-043,ORL,,IND,L (-7),,,,,,,,,,,,,,,,,,,,,,
