game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,20-095,IND,,DET,L (-9),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,20-098,IND,@,CLE,L (-11),0,4:26,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,0
,2019-10-28,20-100,IND,@,DET,L (-2),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-30,20-102,IND,@,BRK,W (+10),0,8:32,0,1,.000,0,0,,0,0,,1,0,1,1,0,1,0,1,0,1.0,-16
3,2019-11-01,20-104,IND,,CLE,W (+7),0,24:55,3,7,.429,1,3,.333,3,4,.750,4,6,10,0,0,4,3,3,10,9.1,+15
4,2019-11-03,20-106,IND,,CHI,W (+13),1,18:57,4,7,.571,1,1,1.000,0,0,,0,4,4,3,0,4,1,6,9,8.4,+3
5,2019-11-05,20-108,IND,@,CHO,L (-2),1,31:48,3,7,.429,0,2,.000,0,0,,4,7,11,4,0,4,3,6,6,7.4,+15
6,2019-11-06,20-109,IND,,WAS,W (+15),0,20:01,3,6,.500,1,2,.500,6,8,.750,2,1,3,1,0,0,1,3,13,9.4,-9
,2019-11-08,20-111,IND,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,20-113,IND,@,ORL,W (+7),,,,,,,,,,,,,,,,,,,,,,
