game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,27-056,CHO,,CHI,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,27-058,CHO,,MIN,L (-22),1,17:38,3,4,.750,0,0,,2,6,.333,1,3,4,2,0,1,1,4,8,5.9,-5
2,2019-10-27,27-060,CHO,@,LAL,L (-19),0,5:24,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-0.7,-11
3,2019-10-28,27-061,CHO,@,LAC,L (-15),0,16:20,4,4,1.000,0,0,,2,3,.667,1,2,3,3,0,0,1,2,10,10.0,+8
,2019-10-30,27-063,CHO,@,SAC,W (+7),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-02,27-066,CHO,@,GSW,W (+6),0,4:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-3
5,2019-11-05,27-069,CHO,,IND,W (+2),0,17:00,6,7,.857,0,0,,3,8,.375,5,1,6,0,1,2,1,2,15,14.9,+16
6,2019-11-07,27-071,CHO,,BOS,L (-21),0,14:24,4,5,.800,0,0,,0,0,,0,2,2,0,0,1,1,2,8,5.6,-9
7,2019-11-09,27-073,CHO,,NOP,L (-5),0,11:55,1,4,.250,0,0,,2,4,.500,1,1,2,0,1,0,1,3,4,0.6,+11
8,2019-11-10,27-074,CHO,@,PHI,L (-8),0,12:59,2,5,.400,0,0,,3,4,.750,1,2,3,1,0,0,1,2,7,4.1,-14
