game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,29-319,MIL,@,HOU,W (+6),1,16:05,4,12,.333,2,4,.500,1,1,1.000,0,1,1,2,0,0,1,3,11,3.7,-6
2,2019-10-26,29-321,MIL,,MIA,L (-5),1,33:14,3,8,.375,0,2,.000,4,6,.667,0,7,7,2,1,0,3,5,10,4.3,+4
3,2019-10-28,29-323,MIL,,CLE,W (+17),1,26:24,6,16,.375,0,4,.000,2,3,.667,2,2,4,8,1,0,1,2,14,11.6,+9
4,2019-10-30,29-325,MIL,@,BOS,L (-11),1,27:47,3,8,.375,1,4,.250,0,3,.000,1,4,5,5,0,0,2,1,7,4.4,-3
5,2019-11-01,29-327,MIL,@,ORL,W (+32),1,27:04,8,15,.533,2,7,.286,0,0,,1,5,6,6,1,0,1,1,18,16.7,+15
6,2019-11-02,29-328,MIL,,TOR,W (+10),1,24:28,5,12,.417,1,5,.200,3,3,1.000,2,6,8,5,1,0,1,3,14,13.1,+5
7,2019-11-04,29-330,MIL,@,MIN,W (+28),1,23:37,8,14,.571,1,4,.250,5,6,.833,1,8,9,6,1,0,3,4,22,18.7,+13
8,2019-11-06,29-332,MIL,@,LAC,W (+5),1,26:19,8,14,.571,4,8,.500,0,0,,1,5,6,2,1,1,4,5,20,12.7,-7
9,2019-11-08,29-334,MIL,@,UTA,L (-3),1,32:01,8,20,.400,1,6,.167,5,5,1.000,1,7,8,5,0,1,0,1,22,17.8,+4
10,2019-11-10,29-336,MIL,@,OKC,W (+2),1,29:16,9,15,.600,3,6,.500,4,4,1.000,0,3,3,9,0,1,3,4,25,21.4,+4
