game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,30-188,UTA,,OKC,W (+5),1,23:54,6,14,.429,1,5,.200,3,3,1.000,0,3,3,0,1,0,0,2,16,9.7,+2
,2019-10-25,30-190,UTA,@,LAL,L (-9),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-26,30-191,UTA,,SAC,W (+32),1,24:19,10,18,.556,5,9,.556,1,1,1.000,0,4,4,1,1,0,1,3,26,18.1,+32
3,2019-10-28,30-193,UTA,@,PHO,W (+1),1,37:19,8,13,.615,4,8,.500,9,9,1.000,1,4,5,2,2,1,5,3,29,22.9,+3
4,2019-10-30,30-195,UTA,,LAC,W (+14),1,30:41,5,11,.455,2,5,.400,2,2,1.000,0,4,4,2,0,0,4,3,14,5.7,0
5,2019-11-01,30-197,UTA,@,SAC,L (-1),1,35:44,6,12,.500,3,4,.750,2,2,1.000,0,6,6,2,1,1,3,2,17,12.1,-11
6,2019-11-03,30-199,UTA,@,LAC,L (-11),1,34:58,7,17,.412,3,9,.333,2,3,.667,0,3,3,4,1,1,4,5,19,8.9,+3
7,2019-11-06,30-202,UTA,,PHI,W (+2),1,35:27,9,18,.500,2,5,.400,0,1,.000,0,6,6,5,1,1,3,1,20,14.2,+21
8,2019-11-08,30-204,UTA,,MIL,W (+3),1,37:33,9,19,.474,5,10,.500,10,10,1.000,0,5,5,0,0,0,3,1,33,21.4,+3
9,2019-11-11,30-207,UTA,@,GSW,W (+14),1,30:24,4,15,.267,2,6,.333,2,2,1.000,0,2,2,2,1,0,4,1,12,1.7,+15
