game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,21-352,DET,@,IND,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-24,21-353,DET,,ATL,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,21-355,DET,,PHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,21-357,DET,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,21-359,DET,@,TOR,L (-12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,21-361,DET,@,CHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,21-362,DET,,BRK,W (+4),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-04,21-364,DET,@,WAS,L (-16),0,1:54,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,0
2,2019-11-06,22-001,DET,,NYK,W (+20),0,2:34,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-4
,2019-11-08,22-003,DET,@,IND,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,22-006,DET,,MIN,L (-6),,,,,,,,,,,,,,,,,,,,,,
