game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,26-284,TOR,,NOP,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,26-287,TOR,@,BOS,L (-6),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,26-288,TOR,@,CHI,W (+24),0,4:34,0,1,.000,0,1,.000,2,2,1.000,1,1,2,0,0,2,1,1,2,2.3,+2
2,2019-10-28,26-290,TOR,,ORL,W (+9),0,4:24,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+2
3,2019-10-30,26-292,TOR,,DET,W (+12),0,4:04,0,2,.000,0,0,,0,0,,0,1,1,0,0,2,0,0,0,0.3,-5
4,2019-11-02,26-295,TOR,@,MIL,L (-10),0,4:09,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-6
5,2019-11-06,26-299,TOR,,SAC,W (+4),0,5:21,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,1,0,1.0,-3
6,2019-11-08,26-301,TOR,@,NOP,W (+18),0,13:42,1,6,.167,0,1,.000,3,4,.750,3,5,8,1,1,1,0,2,5,6.0,+4
7,2019-11-10,26-303,TOR,@,LAL,W (+9),0,24:22,7,11,.636,1,4,.250,0,2,.000,1,1,2,1,2,3,0,2,15,14.3,+3
8,2019-11-11,26-304,TOR,@,LAC,L (-10),0,22:03,5,10,.500,3,5,.600,0,0,,2,4,6,0,1,2,1,5,13,10.0,-2
