game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,22-130,GSW,,LAC,L (-19),0,4:06,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+3
2,2019-10-27,22-133,GSW,@,OKC,L (-28),0,12:00,2,8,.250,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,5,0.2,+9
3,2019-10-28,22-134,GSW,@,NOP,W (+11),0,7:37,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-12
4,2019-10-30,22-136,GSW,,PHO,L (-11),0,12:00,2,4,.500,1,1,1.000,5,5,1.000,0,1,1,1,3,0,1,2,10,10.2,+17
5,2019-11-01,22-138,GSW,,SAS,L (-17),0,14:58,1,6,.167,0,1,.000,0,0,,0,1,1,2,0,0,1,2,2,-1.9,-11
6,2019-11-02,22-139,GSW,,CHO,L (-6),1,38:42,6,11,.545,2,6,.333,2,2,1.000,1,6,7,4,2,0,2,3,16,14.8,-6
7,2019-11-04,22-141,GSW,,POR,W (+9),1,37:15,9,14,.643,1,3,.333,0,0,,0,4,4,8,0,0,3,3,19,15.4,+10
8,2019-11-06,22-143,GSW,@,HOU,L (-17),1,35:46,3,9,.333,2,3,.667,0,1,.000,0,0,0,4,1,0,3,2,8,2.5,-10
9,2019-11-08,22-145,GSW,@,MIN,L (-6),0,12:23,1,2,.500,0,0,,0,0,,0,4,4,1,0,0,0,2,2,2.1,-1
10,2019-11-09,22-146,GSW,@,OKC,L (-6),0,17:26,2,4,.500,0,1,.000,0,0,,0,1,1,1,1,0,1,1,4,2.6,-5
11,2019-11-11,22-148,GSW,,UTA,L (-14),0,15:40,3,5,.600,1,3,.333,0,0,,0,3,3,0,1,0,1,1,7,5.2,-1
