game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,21-288,UTA,,OKC,W (+5),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,21-290,UTA,@,LAL,L (-9),0,5:28,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,2.3,+8
2,2019-10-26,21-291,UTA,,SAC,W (+32),0,4:42,2,2,1.000,0,0,,2,3,.667,0,2,2,0,0,0,1,1,6,4.2,+2
,2019-10-28,21-293,UTA,@,PHO,W (+1),,,,,,,,,,,,,,,,,,,,,,
3,2019-10-30,21-295,UTA,,LAC,W (+14),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
,2019-11-01,21-297,UTA,@,SAC,L (-1),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-03,21-299,UTA,@,LAC,L (-11),0,13:57,3,5,.600,0,0,,2,3,.667,3,2,5,0,0,2,1,2,8,7.6,-14
5,2019-11-06,21-302,UTA,,PHI,W (+2),0,11:52,4,5,.800,0,0,,0,0,,3,0,3,0,1,0,0,3,8,8.0,-7
6,2019-11-08,21-304,UTA,,MIL,W (+3),0,11:29,3,6,.500,0,0,,1,4,.250,4,4,8,1,1,0,1,2,7,6.7,-1
7,2019-11-11,21-307,UTA,@,GSW,W (+14),0,13:30,1,3,.333,0,0,,2,2,1.000,2,1,3,0,0,0,0,2,4,3.2,-1
