game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,23-138,UTA,,OKC,W (+5),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,23-140,UTA,@,LAL,L (-9),0,4:39,0,0,,0,0,,0,0,,0,3,3,1,0,1,0,0,0,2.3,+7
,2019-10-26,23-141,UTA,,SAC,W (+32),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,23-143,UTA,@,PHO,W (+1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-145,UTA,,LAC,W (+14),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,23-147,UTA,@,SAC,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,23-149,UTA,@,LAC,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,23-152,UTA,,PHI,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,23-154,UTA,,MIL,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,23-157,UTA,@,GSW,W (+14),,,,,,,,,,,,,,,,,,,,,,
