game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,20-288,NYK,@,SAS,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,20-290,NYK,@,BRK,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,20-291,NYK,,BOS,L (-23),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,20-293,NYK,,CHI,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,20-295,NYK,@,ORL,L (-12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,20-297,NYK,@,BOS,L (-2),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-03,20-299,NYK,,SAC,L (-21),0,4:11,1,2,.500,0,1,.000,2,2,1.000,0,0,0,1,0,0,1,0,4,2.7,-2
2,2019-11-06,20-302,NYK,@,DET,L (-20),0,3:43,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,+4
,2019-11-08,20-304,NYK,@,DAL,W (+4),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-10,20-306,NYK,,CLE,L (-21),0,4:17,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,0,2,1.7,+4
