game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-216,CHO,,CHI,W (+1),1,31:42,4,7,.571,0,2,.000,0,0,,0,5,5,3,0,3,3,0,8,7.4,+2
2,2019-10-25,21-218,CHO,,MIN,L (-22),1,27:16,5,8,.625,3,6,.500,4,6,.667,0,2,2,1,0,0,2,2,17,11.1,-15
3,2019-10-27,21-220,CHO,@,LAL,L (-19),1,37:15,8,17,.471,2,4,.500,5,5,1.000,2,4,6,3,0,0,3,3,23,14.8,-5
4,2019-10-28,21-221,CHO,@,LAC,L (-15),1,35:56,3,11,.273,2,7,.286,0,0,,3,2,5,3,1,0,1,2,8,5.5,-16
5,2019-10-30,21-223,CHO,@,SAC,W (+7),1,33:58,7,11,.636,3,5,.600,0,0,,1,3,4,2,1,1,5,2,17,11.0,-1
6,2019-11-02,21-226,CHO,@,GSW,W (+6),1,29:28,1,10,.100,0,4,.000,0,0,,3,5,8,1,0,0,1,3,2,-2.5,-4
7,2019-11-05,21-229,CHO,,IND,W (+2),1,43:16,8,10,.800,2,3,.667,0,3,.000,0,3,3,1,0,0,2,4,18,11.0,+14
8,2019-11-07,21-231,CHO,,BOS,L (-21),1,33:21,8,14,.571,2,5,.400,0,0,,2,8,10,1,0,2,4,1,18,12.9,-22
9,2019-11-09,21-233,CHO,,NOP,L (-5),1,25:02,5,11,.455,2,6,.333,0,0,,3,5,8,1,0,2,1,3,12,9.8,-11
10,2019-11-10,21-234,CHO,@,PHI,L (-8),1,38:12,3,10,.300,1,5,.200,0,1,.000,0,5,5,4,0,0,2,2,7,2.3,+5
