game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,29-061,DAL,,WAS,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,29-063,DAL,@,NOP,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,29-065,DAL,,POR,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-29,29-067,DAL,@,DEN,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,29-070,DAL,,LAL,L (-9),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-03,29-072,DAL,@,CLE,W (+20),0,1:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4,+6
,2019-11-06,29-075,DAL,,ORL,W (+1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,29-077,DAL,,NYK,L (-4),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-09,29-078,DAL,@,MEM,W (+16),0,2:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
,2019-11-11,29-080,DAL,@,BOS,L (-10),,,,,,,,,,,,,,,,,,,,,,
