game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-316,IND,,DET,L (-9),1,35:51,5,13,.385,2,4,.500,10,11,.909,0,3,3,11,0,1,2,2,22,21.0,-4
2,2019-10-26,26-319,IND,@,CLE,L (-11),1,34:33,12,18,.667,4,6,.667,2,2,1.000,0,2,2,10,1,1,1,3,30,29.3,-5
3,2019-10-28,26-321,IND,@,DET,L (-2),1,34:39,5,17,.294,1,6,.167,4,4,1.000,1,7,8,11,2,0,2,3,15,14.4,-1
4,2019-10-30,26-323,IND,@,BRK,W (+10),1,32:28,7,19,.368,1,5,.200,6,6,1.000,1,7,8,13,3,0,2,2,21,22.6,+12
5,2019-11-01,26-325,IND,,CLE,W (+7),1,33:02,8,16,.500,1,4,.250,8,8,1.000,2,6,8,6,1,1,5,2,25,20.3,-1
6,2019-11-03,26-327,IND,,CHI,W (+13),1,31:08,9,15,.600,1,4,.250,3,3,1.000,0,3,3,7,1,0,5,2,22,16.1,+9
7,2019-11-05,26-329,IND,@,CHO,L (-2),1,38:55,12,19,.632,2,9,.222,5,5,1.000,0,5,5,8,0,0,5,4,31,23.0,0
8,2019-11-06,26-330,IND,,WAS,W (+15),1,35:02,3,14,.214,1,3,.333,5,5,1.000,2,1,3,13,1,0,2,2,12,12.4,+25
9,2019-11-08,26-332,IND,,DET,W (+6),1,32:29,4,11,.364,0,1,.000,3,3,1.000,0,6,6,2,2,0,3,3,11,5.9,+8
10,2019-11-10,26-334,IND,@,ORL,W (+7),1,29:20,9,17,.529,1,3,.333,0,0,,0,5,5,8,1,0,4,1,19,14.4,-4
