game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-274,MEM,@,MIA,L (-19),1,18:10,3,7,.429,1,2,.500,0,0,,0,5,5,1,1,1,2,5,7,3.2,-16
2,2019-10-25,23-276,MEM,,CHI,L (-8),1,29:40,2,12,.167,2,4,.500,0,0,,0,3,3,1,2,1,3,6,6,-2.7,0
3,2019-10-27,23-278,MEM,,BRK,W (+1),1,37:31,9,15,.600,3,6,.500,0,0,,1,1,2,2,1,0,0,5,21,15.5,+1
4,2019-10-29,23-280,MEM,@,LAL,L (-29),1,22:36,2,7,.286,1,4,.250,3,3,1.000,0,3,3,4,1,0,0,3,8,7.4,+13
5,2019-11-02,23-284,MEM,,PHO,L (-9),1,23:44,6,12,.500,2,4,.500,2,2,1.000,2,0,2,1,1,0,1,5,16,10.1,+13
6,2019-11-04,23-286,MEM,,HOU,L (-7),1,31:43,7,18,.389,0,7,.000,3,4,.750,3,6,9,1,2,0,0,5,17,11.4,+8
7,2019-11-06,23-288,MEM,,MIN,W (+16),1,30:21,9,16,.563,5,7,.714,8,8,1.000,0,4,4,2,0,0,3,5,31,21.0,+10
8,2019-11-08,23-290,MEM,@,ORL,L (-32),1,22:15,0,7,.000,0,1,.000,3,3,1.000,1,3,4,1,0,2,0,2,3,1.0,-14
9,2019-11-09,23-291,MEM,,DAL,L (-16),1,19:49,2,8,.250,1,5,.200,0,0,,4,1,5,4,0,0,2,5,5,2.1,-12
10,2019-11-11,23-293,MEM,@,SAS,W (+4),1,35:26,8,17,.471,1,4,.250,4,6,.667,1,1,2,3,2,0,1,4,21,14.0,-6
