game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-069,DET,@,IND,W (+9),1,28:49,3,6,.500,0,0,,1,2,.500,1,3,4,4,0,0,3,3,7,3.8,+5
2,2019-10-24,23-070,DET,,ATL,L (-17),1,17:24,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,5,2,-2.1,-14
3,2019-10-26,23-072,DET,,PHI,L (-6),1,15:45,1,5,.200,0,2,.000,1,2,.500,0,1,1,0,1,0,3,2,3,-3.0,-1
4,2019-10-28,23-074,DET,,IND,W (+2),0,26:24,4,5,.800,3,3,1.000,0,0,,0,7,7,0,0,0,3,2,11,7.4,-5
5,2019-10-30,23-076,DET,@,TOR,L (-12),0,21:10,0,3,.000,0,0,,1,2,.500,0,6,6,0,2,0,4,3,1,-2.9,0
6,2019-11-01,23-078,DET,@,CHI,L (-6),0,21:13,1,3,.333,0,1,.000,0,0,,1,4,5,0,0,1,2,4,2,-0.7,+5
7,2019-11-02,23-079,DET,,BRK,W (+4),1,40:15,8,20,.400,0,4,.000,6,8,.750,0,2,2,7,2,0,0,5,22,15.9,+6
8,2019-11-04,23-081,DET,@,WAS,L (-16),1,36:39,5,12,.417,1,3,.333,3,5,.600,5,2,7,7,2,3,4,5,14,13.9,-2
9,2019-11-06,23-083,DET,,NYK,W (+20),1,34:10,3,9,.333,1,2,.500,2,2,1.000,1,2,3,6,1,0,1,3,9,8.2,+16
10,2019-11-08,23-085,DET,@,IND,L (-6),1,37:04,5,13,.385,0,1,.000,0,2,.000,4,2,6,4,3,0,2,5,10,7.3,-12
11,2019-11-11,23-088,DET,,MIN,L (-6),0,13:30,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,2,1,3,-0.8,-14
