game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,24-256,MIL,@,HOU,W (+6),0,5:41,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,0.1,+1
2,2019-10-26,24-258,MIL,,MIA,L (-5),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
,2019-10-28,24-260,MIL,,CLE,W (+17),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,24-262,MIL,@,BOS,L (-11),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-01,24-264,MIL,@,ORL,W (+32),0,21:25,3,5,.600,1,3,.333,2,3,.667,1,10,11,2,0,0,2,1,9,9.0,+26
4,2019-11-02,24-265,MIL,,TOR,W (+10),0,13:15,3,4,.750,3,3,1.000,0,0,,2,1,3,0,0,0,1,1,9,7.7,+1
5,2019-11-04,24-267,MIL,@,MIN,W (+28),0,3:38,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
,2019-11-06,24-269,MIL,@,LAC,W (+5),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-08,24-271,MIL,@,UTA,L (-3),0,22:33,3,8,.375,0,3,.000,1,2,.500,3,5,8,1,2,1,0,1,7,8.8,+1
7,2019-11-10,24-273,MIL,@,OKC,W (+2),0,18:10,5,9,.556,1,2,.500,1,1,1.000,0,3,3,1,2,0,2,1,12,8.9,-18
