game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-053,DAL,,WAS,W (+8),0,24:20,3,10,.300,1,3,.333,2,4,.500,1,3,4,3,2,0,4,3,9,2.9,+2
2,2019-10-25,23-055,DAL,@,NOP,W (+7),1,28:45,6,11,.545,2,5,.400,0,0,,4,4,8,2,0,0,0,0,14,14.1,+4
3,2019-10-27,23-057,DAL,,POR,L (-2),1,26:31,1,6,.167,1,4,.250,1,1,1.000,0,2,2,2,0,0,0,2,4,1.4,+6
4,2019-10-29,23-059,DAL,@,DEN,W (+3),0,15:30,4,8,.500,0,2,.000,3,7,.429,0,4,4,8,0,0,0,0,11,12.2,+20
5,2019-11-01,23-062,DAL,,LAL,L (-9),0,14:46,1,6,.167,0,0,,1,2,.500,1,0,1,2,0,0,1,1,3,-0.5,-2
6,2019-11-03,23-064,DAL,@,CLE,W (+20),1,30:19,6,11,.545,2,6,.333,0,0,,1,1,2,6,0,0,1,3,14,11.7,+7
7,2019-11-06,23-067,DAL,,ORL,W (+1),0,6:27,0,4,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,0,0,-0.8,+1
8,2019-11-08,23-069,DAL,,NYK,L (-4),0,16:14,1,4,.250,0,2,.000,1,1,1.000,0,3,3,4,1,0,2,0,3,3.3,+15
9,2019-11-09,23-070,DAL,@,MEM,W (+16),0,18:49,6,8,.750,0,0,,1,1,1.000,0,2,2,4,2,0,3,2,13,11.4,+15
10,2019-11-11,23-072,DAL,@,BOS,L (-10),0,27:10,4,7,.571,1,2,.500,3,4,.750,2,5,7,2,1,0,0,3,12,12.4,-6
