game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,25-265,OKC,@,UTA,L (-5),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,25-267,OKC,,WAS,L (-12),0,3:58,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-6
2,2019-10-27,25-269,OKC,,GSW,W (+28),0,8:36,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,2,1,3,1.3,-12
3,2019-10-28,25-270,OKC,@,HOU,L (-4),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
,2019-10-30,25-272,OKC,,POR,L (-3),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-02,25-275,OKC,,NOP,W (+11),0,8:00,1,3,.333,1,2,.500,0,0,,0,3,3,0,0,0,0,1,3,1.8,+5
,2019-11-05,25-278,OKC,,ORL,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,25-280,OKC,@,SAS,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,25-282,OKC,,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,25-283,OKC,,MIL,L (-2),,,,,,,,,,,,,,,,,,,,,,
