game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-032,MEM,@,MIA,L (-19),0,4:44,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,1,1,0,2,0.6,-3
,2019-10-25,24-034,MEM,,CHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,24-036,MEM,,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-29,24-038,MEM,@,LAL,L (-29),0,8:29,0,3,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,2,0,-1.9,-16
3,2019-11-02,24-042,MEM,,PHO,L (-9),0,4:54,0,2,.000,0,0,,0,0,,0,0,0,0,1,1,0,0,0,0.3,-4
4,2019-11-04,24-044,MEM,,HOU,L (-7),0,24:11,5,8,.625,1,3,.333,0,0,,3,2,5,1,2,2,0,2,11,13.4,-5
5,2019-11-06,24-046,MEM,,MIN,W (+16),0,13:52,2,5,.400,1,4,.250,0,0,,0,3,3,2,0,2,1,2,5,4.2,+9
6,2019-11-08,24-048,MEM,@,ORL,L (-32),0,5:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-7
7,2019-11-09,24-049,MEM,,DAL,L (-16),0,9:45,4,6,.667,0,0,,0,0,,1,3,4,1,1,1,1,1,8,8.0,+6
,2019-11-11,24-051,MEM,@,SAS,W (+4),,,,,,,,,,,,,,,,,,,,,,
