game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,33-088,SAS,,NYK,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,33-091,SAS,,WAS,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,33-093,SAS,,POR,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-31,33-096,SAS,@,LAC,L (-6),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,33-097,SAS,@,GSW,W (+17),0,16:31,1,3,.333,0,1,.000,0,0,,0,2,2,2,0,1,1,4,2,0.4,+9
2,2019-11-03,33-099,SAS,,LAL,L (-7),0,5:11,1,1,1.000,0,0,,2,2,1.000,1,0,1,1,0,0,0,0,4,5.1,+4
,2019-11-05,33-101,SAS,@,ATL,L (-8),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-07,33-103,SAS,,OKC,W (+9),0,5:31,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-6
4,2019-11-09,33-105,SAS,,BOS,L (-20),0,11:40,2,4,.500,2,4,.500,0,0,,1,4,5,0,0,0,0,1,6,5.5,-6
,2019-11-11,33-107,SAS,,MEM,L (-4),,,,,,,,,,,,,,,,,,,,,,
