game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,28-013,ORL,,CLE,W (+9),0,14:28,1,2,.500,0,1,.000,0,0,,1,1,2,0,1,0,1,2,2,1.2,+5
2,2019-10-26,28-016,ORL,@,ATL,L (-4),0,16:41,2,6,.333,1,2,.500,0,0,,1,3,4,1,3,1,1,3,5,5.4,-4
3,2019-10-28,28-018,ORL,@,TOR,L (-9),0,13:21,0,3,.000,0,1,.000,0,0,,1,2,3,2,0,0,1,1,0,-0.8,+5
4,2019-10-30,28-020,ORL,,NYK,W (+12),0,7:55,1,2,.500,1,1,1.000,0,0,,2,2,4,1,1,0,0,1,3,5.3,-10
,2019-11-01,28-022,ORL,,MIL,L (-32),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,28-023,ORL,,DEN,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,28-026,ORL,@,OKC,L (-8),,,,,,,,,,,,,,,,,,,,,,
5,2019-11-06,28-027,ORL,@,DAL,L (-1),0,21:20,4,9,.444,0,1,.000,5,5,1.000,3,4,7,2,2,3,1,0,13,16.1,-8
6,2019-11-08,28-029,ORL,,MEM,W (+32),0,25:57,1,7,.143,1,3,.333,3,4,.750,1,5,6,3,1,0,1,4,6,3.8,+10
7,2019-11-10,28-031,ORL,,IND,L (-7),0,20:29,1,8,.125,0,5,.000,2,3,.667,1,1,2,3,0,1,1,0,4,1.2,-8
