game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,20-190,CHI,@,CHO,L (-1),1,29:25,5,11,.455,0,0,,2,2,1.000,5,4,9,0,0,1,1,4,12,9.1,+2
2,2019-10-25,20-192,CHI,@,MEM,W (+8),1,26:41,2,4,.500,0,1,.000,3,4,.750,2,5,7,0,2,1,1,6,7,6.8,+16
3,2019-10-26,20-193,CHI,,TOR,L (-24),1,23:12,6,14,.429,0,2,.000,0,2,.000,5,6,11,0,0,0,1,3,12,6.9,-19
4,2019-10-28,20-195,CHI,@,NYK,L (-7),1,28:25,7,9,.778,0,1,.000,6,7,.857,3,7,10,2,1,3,1,5,20,21.8,-4
5,2019-10-30,20-197,CHI,@,CLE,L (-6),1,27:10,5,8,.625,0,1,.000,5,6,.833,2,6,8,0,0,2,3,3,15,11.4,-1
6,2019-11-01,20-199,CHI,,DET,W (+6),1,32:06,6,9,.667,1,1,1.000,3,5,.600,2,9,11,2,0,0,0,3,16,15.6,+13
7,2019-11-03,20-201,CHI,@,IND,L (-13),1,28:20,9,10,.900,0,0,,2,6,.333,3,7,10,2,0,0,2,4,20,17.0,-3
8,2019-11-05,20-203,CHI,,LAL,L (-6),1,31:17,4,9,.444,0,1,.000,3,6,.500,4,7,11,0,0,1,2,4,11,7.1,-16
9,2019-11-06,20-204,CHI,@,ATL,W (+20),1,13:15,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,2,2,6,2,-2.1,+16
10,2019-11-09,20-207,CHI,,HOU,L (-23),1,29:00,5,9,.556,0,1,.000,3,3,1.000,4,12,16,2,0,2,0,3,13,16.7,-5
