game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-24,26-067,GSW,,LAC,L (-19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,26-070,GSW,@,OKC,L (-28),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,26-071,GSW,@,NOP,W (+11),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-30,26-073,GSW,,PHO,L (-11),0,12:19,5,5,1.000,0,0,,2,2,1.000,2,3,5,1,0,1,0,3,12,13.0,-8
2,2019-11-01,26-075,GSW,,SAS,L (-17),1,17:01,3,7,.429,0,0,,0,0,,0,5,5,0,1,0,0,2,6,4.0,-4
3,2019-11-02,26-076,GSW,,CHO,L (-6),1,21:13,4,7,.571,0,0,,0,0,,0,8,8,2,1,1,0,3,8,9.0,+6
4,2019-11-04,26-078,GSW,,POR,W (+9),1,15:30,4,5,.800,0,0,,2,2,1.000,1,2,3,2,2,0,1,3,10,10.6,+7
5,2019-11-06,26-080,GSW,@,HOU,L (-17),1,19:59,1,6,.167,0,0,,2,2,1.000,3,1,4,2,0,0,0,3,4,2.8,-18
6,2019-11-08,26-082,GSW,@,MIN,L (-6),1,24:52,2,5,.400,0,0,,0,0,,2,6,8,0,1,3,2,2,4,4.8,-4
7,2019-11-09,26-083,GSW,@,OKC,L (-6),1,23:32,5,9,.556,0,0,,0,0,,0,6,6,0,0,3,3,5,10,4.6,-11
8,2019-11-11,26-085,GSW,,UTA,L (-14),1,26:14,4,7,.571,0,0,,0,2,.000,1,10,11,2,2,1,1,5,8,8.7,-7
