game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,37-022,HOU,,MIL,L (-6),0,10:31,5,6,.833,0,0,,0,1,.000,1,4,5,0,0,0,0,3,10,8.1,-1
2,2019-10-26,37-024,HOU,,NOP,W (+3),0,6:54,1,1,1.000,0,0,,0,0,,1,1,2,0,1,0,1,1,2,2.3,-2
3,2019-10-28,37-026,HOU,,OKC,W (+4),0,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-12
4,2019-10-30,37-028,HOU,@,WAS,W (+1),0,3:37,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0
5,2019-11-01,37-030,HOU,@,BRK,L (-7),0,14:45,0,0,,0,0,,0,0,,3,5,8,0,2,1,0,2,0,5.5,+13
6,2019-11-03,37-032,HOU,@,MIA,L (-29),0,2:30,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-6
7,2019-11-04,37-033,HOU,@,MEM,W (+7),0,7:23,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,2,0,0.2,+12
8,2019-11-06,37-035,HOU,,GSW,W (+17),0,2:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
,2019-11-09,37-038,HOU,@,CHI,W (+23),,,,,,,,,,,,,,,,,,,,,,
9,2019-11-11,37-040,HOU,@,NOP,W (+6),0,9:54,1,1,1.000,0,0,,0,0,,0,3,3,0,0,1,0,4,2,1.7,+22
