game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-034,MEM,@,MIA,L (-19),0,23:03,3,6,.500,1,1,1.000,1,1,1.000,2,5,7,1,0,1,0,1,8,8.9,+6
2,2019-10-25,23-036,MEM,,CHI,L (-8),0,25:17,7,9,.778,0,1,.000,0,0,,1,4,5,1,1,3,0,3,14,15.0,-13
3,2019-10-27,23-038,MEM,,BRK,W (+1),0,25:51,5,12,.417,0,3,.000,0,0,,1,6,7,2,1,1,1,2,10,7.4,-18
4,2019-10-29,23-040,MEM,@,LAL,L (-29),0,18:31,4,9,.444,0,0,,2,2,1.000,1,0,1,0,1,1,1,4,10,5.1,-32
5,2019-11-02,23-044,MEM,,PHO,L (-9),0,22:05,7,9,.778,1,1,1.000,1,2,.500,4,7,11,0,3,2,2,1,16,19.0,-5
6,2019-11-04,23-046,MEM,,HOU,L (-7),1,20:22,1,4,.250,0,1,.000,1,1,1.000,1,5,6,1,0,4,1,0,3,5.3,+7
7,2019-11-06,23-048,MEM,,MIN,W (+16),0,21:56,7,7,1.000,0,0,,4,4,1.000,2,6,8,2,0,0,1,1,18,19.1,+30
8,2019-11-08,23-050,MEM,@,ORL,L (-32),0,24:35,5,12,.417,1,3,.333,2,2,1.000,1,5,6,1,0,1,1,2,13,8.4,-12
,2019-11-09,23-051,MEM,,DAL,L (-16),,,,,,,,,,,,,,,,,,,,,,
9,2019-11-11,23-053,MEM,@,SAS,W (+4),0,17:31,6,7,.857,2,2,1.000,0,0,,1,7,8,1,0,0,1,1,14,13.6,+7
