game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-24,22-093,HOU,,MIL,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,22-095,HOU,,NOP,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,22-097,HOU,,OKC,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,22-099,HOU,@,WAS,W (+1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,22-101,HOU,@,BRK,L (-7),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-03,22-103,HOU,@,MIA,L (-29),0,21:58,5,10,.500,4,9,.444,2,2,1.000,2,1,3,1,0,1,2,3,16,10.9,-5
2,2019-11-04,22-104,HOU,@,MEM,W (+7),0,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-5
3,2019-11-06,22-106,HOU,,GSW,W (+17),0,2:56,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-3
4,2019-11-09,22-109,HOU,@,CHI,W (+23),0,3:12,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,1,1,3,1.3,-2
,2019-11-11,22-111,HOU,@,NOP,W (+6),,,,,,,,,,,,,,,,,,,,,,
