game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-338,POR,,DEN,L (-8),1,30:30,4,9,.444,0,2,.000,0,0,,1,4,5,0,0,2,2,3,8,3.4,+2
2,2019-10-25,21-340,POR,@,SAC,W (+10),1,31:52,2,5,.400,1,2,.500,4,4,1.000,3,1,4,5,0,0,2,4,9,8.6,+7
3,2019-10-27,21-342,POR,@,DAL,W (+2),1,24:02,3,5,.600,2,3,.667,2,2,1.000,0,3,3,1,0,0,2,4,10,5.7,+10
,2019-10-28,21-343,POR,@,SAS,L (-3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,21-345,POR,@,OKC,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,21-348,POR,,PHI,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,21-350,POR,@,GSW,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,21-353,POR,@,LAC,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,21-354,POR,,BRK,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,21-356,POR,,ATL,W (+11),,,,,,,,,,,,,,,,,,,,,,
