game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,26-291,MIL,@,HOU,W (+6),0,16:48,4,8,.500,2,5,.400,0,0,,0,4,4,2,0,1,0,1,10,8.9,-6
2,2019-10-26,26-293,MIL,,MIA,L (-5),0,13:02,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-0.5,-3
3,2019-10-28,26-295,MIL,,CLE,W (+17),0,20:55,6,8,.750,4,5,.800,1,1,1.000,0,4,4,4,0,0,0,3,17,16.6,-2
4,2019-10-30,26-297,MIL,@,BOS,L (-11),0,21:19,2,8,.250,2,6,.333,0,0,,0,0,0,1,0,0,0,1,6,1.5,-7
5,2019-11-01,26-299,MIL,@,ORL,W (+32),0,16:23,2,9,.222,0,5,.000,0,0,,0,2,2,1,1,2,0,1,4,1.8,+11
,2019-11-02,26-300,MIL,,TOR,W (+10),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-04,26-302,MIL,@,MIN,W (+28),0,16:02,0,2,.000,0,2,.000,0,0,,0,6,6,1,0,0,1,1,0,-0.3,-5
7,2019-11-06,26-304,MIL,@,LAC,W (+5),0,13:58,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,1,0,0.6,0
,2019-11-08,26-306,MIL,@,UTA,L (-3),,,,,,,,,,,,,,,,,,,,,,
8,2019-11-10,26-308,MIL,@,OKC,W (+2),0,12:59,2,4,.500,0,2,.000,0,0,,0,5,5,1,1,0,2,0,4,3.2,+5
