game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,28-313,MIN,@,BRK,W (+1),1,32:42,6,11,.545,3,6,.500,0,0,,2,7,9,0,0,0,2,4,15,9.6,-11
2,2019-10-25,28-315,MIN,@,CHO,W (+22),1,18:08,4,10,.400,0,4,.000,0,0,,1,3,4,1,1,0,0,3,8,4.7,+4
3,2019-10-27,28-317,MIN,,MIA,W (+7),1,27:39,3,10,.300,2,8,.250,3,4,.750,3,7,10,3,2,0,3,3,11,8.9,+6
4,2019-10-30,28-320,MIN,@,PHI,L (-22),1,25:51,2,7,.286,1,4,.250,2,2,1.000,1,2,3,0,1,2,2,3,7,3.4,-23
5,2019-11-02,28-323,MIN,@,WAS,W (+22),1,19:42,7,10,.700,3,5,.600,3,3,1.000,0,4,4,1,0,2,0,2,20,18.3,+19
6,2019-11-04,28-325,MIN,,MIL,L (-28),1,23:04,5,9,.556,3,6,.500,2,2,1.000,0,4,4,2,1,0,2,3,15,11.1,-20
7,2019-11-06,28-327,MIN,@,MEM,L (-16),1,26:05,5,11,.455,3,8,.375,0,0,,1,1,2,0,2,2,1,2,13,9.9,+5
8,2019-11-08,28-329,MIN,,GSW,W (+6),1,35:56,5,15,.333,2,10,.200,5,5,1.000,2,9,11,0,5,3,1,2,17,17.9,+12
9,2019-11-10,28-331,MIN,,DEN,L (-2),1,31:25,2,7,.286,0,2,.000,0,0,,1,5,6,0,2,2,3,4,4,0.9,-2
10,2019-11-11,28-332,MIN,@,DET,W (+6),1,22:53,2,8,.250,2,7,.286,4,4,1.000,0,4,4,2,1,1,4,3,10,4.3,+5
