game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,29-109,MEM,@,MIA,L (-19),1,30:17,3,11,.273,2,9,.222,5,6,.833,2,3,5,2,1,0,1,1,13,9.4,-9
2,2019-10-25,29-111,MEM,,CHI,L (-8),1,30:54,5,13,.385,3,10,.300,0,0,,2,7,9,3,0,0,1,2,13,9.7,-10
3,2019-10-27,29-113,MEM,,BRK,W (+1),1,37:43,2,6,.333,2,5,.400,0,0,,0,7,7,5,1,2,1,2,6,8.8,-9
4,2019-10-29,29-115,MEM,@,LAL,L (-29),1,27:00,3,8,.375,1,6,.167,2,3,.667,1,4,5,1,0,0,3,2,9,3.0,-11
5,2019-11-02,29-119,MEM,,PHO,L (-9),1,26:43,0,8,.000,0,5,.000,0,0,,1,3,4,4,0,0,0,3,0,-2.4,-5
6,2019-11-04,29-121,MEM,,HOU,L (-7),1,29:15,2,8,.250,1,4,.250,3,4,.750,1,4,5,2,3,0,4,4,8,3.5,+4
7,2019-11-06,29-123,MEM,,MIN,W (+16),1,33:53,6,8,.750,4,6,.667,2,4,.500,0,3,3,2,2,1,1,2,18,17.2,+13
8,2019-11-08,29-125,MEM,@,ORL,L (-32),1,24:18,3,7,.429,2,6,.333,0,0,,1,3,4,3,1,0,0,3,8,7.8,-19
9,2019-11-09,29-126,MEM,,DAL,L (-16),1,30:39,6,12,.500,4,9,.444,2,2,1.000,0,4,4,4,3,2,1,2,18,18.6,-14
10,2019-11-11,29-128,MEM,@,SAS,W (+4),1,30:52,3,5,.600,1,3,.333,1,2,.500,0,10,10,4,1,0,2,1,8,9.7,+13
