game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,20-245,MIN,@,BRK,W (+1),0,15:46,2,5,.400,0,2,.000,0,0,,1,1,2,0,1,0,2,0,4,1.3,+6
2,2019-10-25,20-247,MIN,@,CHO,W (+22),0,13:43,0,3,.000,0,1,.000,0,0,,1,0,1,1,1,0,0,1,0,-0.1,+4
3,2019-10-27,20-249,MIN,,MIA,W (+7),0,12:45,1,3,.333,0,2,.000,0,1,.000,0,1,1,1,0,0,1,2,2,-0.9,-2
4,2019-10-30,20-252,MIN,@,PHI,L (-22),0,15:48,2,8,.250,1,4,.250,1,4,.250,0,0,0,1,1,0,1,1,6,0.3,+1
5,2019-11-02,20-255,MIN,@,WAS,W (+22),0,26:11,8,17,.471,4,9,.444,0,2,.000,1,4,5,1,1,0,6,4,20,6.5,-1
6,2019-11-04,20-257,MIN,,MIL,L (-28),0,24:08,3,11,.273,2,5,.400,0,0,,1,3,4,1,1,0,2,3,8,1.6,-7
7,2019-11-06,20-259,MIN,@,MEM,L (-16),1,29:58,5,13,.385,2,5,.400,3,6,.500,2,3,5,7,0,0,0,3,15,12.7,+4
8,2019-11-08,20-261,MIN,,GSW,W (+6),1,22:50,0,5,.000,0,2,.000,2,4,.500,0,4,4,4,0,0,1,3,2,-0.5,+1
9,2019-11-10,20-263,MIN,,DEN,L (-2),1,30:35,4,9,.444,0,4,.000,2,4,.500,1,2,3,3,2,1,1,3,10,8.4,+5
10,2019-11-11,20-264,MIN,@,DET,W (+6),0,22:33,3,8,.375,1,2,.500,0,0,,0,2,2,2,0,0,1,3,7,2.4,+7
