game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,29-061,DAL,,WAS,W (+8),0,19:39,3,6,.500,1,2,.500,2,2,1.000,0,3,3,1,0,0,2,1,9,5.2,+11
2,2019-10-25,29-063,DAL,@,NOP,W (+7),0,17:06,3,5,.600,2,2,1.000,0,0,,0,2,2,0,0,1,1,3,8,4.8,+9
3,2019-10-27,29-065,DAL,,POR,L (-2),0,24:55,4,10,.400,2,7,.286,2,2,1.000,0,0,0,2,3,0,0,1,12,10.6,+1
4,2019-10-29,29-067,DAL,@,DEN,W (+3),1,25:16,4,8,.500,2,6,.333,0,0,,2,0,2,3,1,0,0,1,10,10.1,-13
5,2019-11-01,29-070,DAL,,LAL,L (-9),1,22:50,1,5,.200,1,4,.250,1,1,1.000,0,2,2,1,1,0,2,0,4,1.2,-7
6,2019-11-03,29-072,DAL,@,CLE,W (+20),1,22:02,4,7,.571,3,5,.600,2,2,1.000,1,0,1,4,0,0,0,3,13,12.0,+6
7,2019-11-06,29-075,DAL,,ORL,W (+1),1,6:42,1,2,.500,0,1,.000,3,5,.600,0,0,0,0,1,1,1,0,5,3.9,-6
8,2019-11-08,29-077,DAL,,NYK,L (-4),0,12:42,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,-0.2,+4
9,2019-11-09,29-078,DAL,@,MEM,W (+16),1,24:50,4,12,.333,3,7,.429,5,5,1.000,0,1,1,1,0,0,2,3,16,7.0,-4
10,2019-11-11,29-080,DAL,@,BOS,L (-10),1,21:28,1,6,.167,0,4,.000,0,0,,0,1,1,1,0,0,1,4,2,-3.4,-10
