game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,30-140,UTA,,OKC,W (+5),0,10:05,0,3,.000,0,0,,2,2,1.000,3,3,6,0,0,2,1,5,2,1.3,-8
2,2019-10-25,30-142,UTA,@,LAL,L (-9),0,10:08,1,2,.500,0,0,,0,0,,2,2,4,0,1,0,1,2,2,2.2,-15
3,2019-10-26,30-143,UTA,,SAC,W (+32),0,18:15,1,1,1.000,0,0,,0,2,.000,0,7,7,0,0,0,1,2,2,1.2,+14
4,2019-10-28,30-145,UTA,@,PHO,W (+1),0,12:28,0,0,,0,0,,0,0,,1,3,4,0,0,0,1,2,0,-0.2,-12
5,2019-10-30,30-147,UTA,,LAC,W (+14),0,14:00,2,3,.667,0,0,,0,0,,3,6,9,1,0,1,1,1,4,6.6,+13
6,2019-11-01,30-149,UTA,@,SAC,L (-1),0,7:46,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,+9
,2019-11-03,30-151,UTA,@,LAC,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,30-154,UTA,,PHI,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,30-156,UTA,,MIL,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,30-159,UTA,@,GSW,W (+14),,,,,,,,,,,,,,,,,,,,,,
