game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,22-159,TOR,,NOP,W (+8),0,15:10,2,6,.333,1,3,.333,0,0,,2,3,5,2,2,0,0,2,5,6.5,0
2,2019-10-25,22-162,TOR,@,BOS,L (-6),0,8:51,1,4,.250,1,3,.333,0,0,,0,2,2,0,0,0,0,3,3,0.0,+1
3,2019-10-26,22-163,TOR,@,CHI,W (+24),0,11:59,0,1,.000,0,0,,4,4,1.000,0,3,3,2,0,1,1,1,4,4.9,-6
4,2019-10-28,22-165,TOR,,ORL,W (+9),0,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
5,2019-10-30,22-167,TOR,,DET,W (+12),0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
6,2019-11-02,22-170,TOR,@,MIL,L (-10),0,8:43,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,0,1,2,2.6,+6
7,2019-11-06,22-174,TOR,,SAC,W (+4),0,7:20,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,5,0,-2.0,+2
8,2019-11-08,22-176,TOR,@,NOP,W (+18),0,16:07,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,2,0,-0.5,+1
9,2019-11-10,22-178,TOR,@,LAL,W (+9),0,17:00,5,8,.625,3,5,.600,0,0,,1,4,5,3,0,0,1,1,13,12.0,+13
10,2019-11-11,22-179,TOR,@,LAC,L (-10),0,16:45,2,4,.500,1,2,.500,0,0,,0,1,1,2,1,1,0,1,5,6.0,+2
