game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,30-077,SAS,,NYK,W (+9),1,31:38,3,10,.300,0,1,.000,7,11,.636,0,4,4,4,0,1,4,3,13,5.1,+2
2,2019-10-26,30-080,SAS,,WAS,W (+2),1,36:24,11,24,.458,0,0,,4,4,1.000,0,4,4,3,2,1,1,1,26,18.2,+1
3,2019-10-28,30-082,SAS,,POR,W (+3),1,33:26,10,16,.625,0,0,,7,9,.778,1,6,7,0,2,0,5,2,27,17.7,+2
4,2019-10-31,30-085,SAS,@,LAC,L (-6),1,35:06,13,21,.619,0,0,,3,4,.750,0,7,7,2,1,0,7,4,29,15.0,-2
5,2019-11-01,30-086,SAS,@,GSW,W (+17),1,29:18,4,7,.571,0,0,,5,7,.714,0,1,1,11,0,0,3,1,13,13.5,+10
6,2019-11-03,30-088,SAS,,LAL,L (-7),1,33:59,5,15,.333,0,0,,4,5,.800,2,5,7,5,0,1,3,2,14,8.4,-19
7,2019-11-05,30-090,SAS,@,ATL,L (-8),1,36:23,10,16,.625,0,1,.000,2,3,.667,1,3,4,4,3,2,3,2,22,19.4,-2
8,2019-11-07,30-092,SAS,,OKC,W (+9),1,34:12,7,13,.538,0,0,,2,2,1.000,0,6,6,9,1,0,3,2,16,15.0,+11
9,2019-11-09,30-094,SAS,,BOS,L (-20),1,27:17,6,15,.400,0,0,,10,11,.909,0,2,2,4,0,0,2,2,22,14.1,-16
10,2019-11-11,30-096,SAS,,MEM,L (-4),1,34:31,6,15,.400,0,2,.000,0,1,.000,0,7,7,7,0,0,2,4,12,6.9,-10
