game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,29-278,MIN,@,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,29-280,MIN,@,CHO,W (+22),0,6:15,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,1,0,2,-0.1,-3
,2019-10-27,29-282,MIN,,MIA,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,29-285,MIN,@,PHI,L (-22),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-02,29-288,MIN,@,WAS,W (+22),1,23:38,7,9,.778,2,2,1.000,2,3,.667,1,7,8,1,2,3,2,2,18,18.9,+21
3,2019-11-04,29-290,MIN,,MIL,L (-28),1,17:21,3,9,.333,0,3,.000,4,4,1.000,4,2,6,4,0,1,0,1,10,11.4,-29
4,2019-11-06,29-292,MIN,@,MEM,L (-16),0,3:10,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,2.0,-5
5,2019-11-08,29-294,MIN,,GSW,W (+6),0,7:43,1,3,.333,0,0,,1,1,1.000,0,1,1,1,0,1,1,0,3,2.0,0
6,2019-11-10,29-296,MIN,,DEN,L (-2),0,9:44,0,4,.000,0,3,.000,0,0,,2,3,5,1,1,1,1,1,0,0.5,+7
7,2019-11-11,29-297,MIN,@,DET,W (+6),0,17:11,4,7,.571,0,1,.000,1,2,.500,1,6,7,1,2,1,1,1,9,9.8,-11
