game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-24,22-266,MIL,@,HOU,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,22-268,MIL,,MIA,L (-5),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-28,22-270,MIL,,CLE,W (+17),0,2:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4
,2019-10-30,22-272,MIL,@,BOS,L (-11),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-01,22-274,MIL,@,ORL,W (+32),0,17:22,5,11,.455,4,7,.571,0,0,,1,2,3,3,2,1,0,1,14,14.0,+34
3,2019-11-02,22-275,MIL,,TOR,W (+10),0,21:29,3,8,.375,2,5,.400,0,0,,1,3,4,1,1,0,0,3,8,5.7,+3
4,2019-11-04,22-277,MIL,@,MIN,W (+28),0,20:15,6,11,.545,3,4,.750,2,4,.500,1,6,7,1,1,1,2,0,17,13.8,+12
5,2019-11-06,22-279,MIL,@,LAC,W (+5),0,13:38,0,2,.000,0,2,.000,0,0,,1,1,2,1,0,0,2,4,0,-3.3,+5
6,2019-11-08,22-281,MIL,@,UTA,L (-3),0,13:41,0,4,.000,0,2,.000,0,0,,1,2,3,0,1,0,1,3,0,-2.7,-3
7,2019-11-10,22-283,MIL,@,OKC,W (+2),0,8:50,1,3,.333,0,0,,0,0,,0,1,1,1,3,0,1,1,2,2.9,-2
