game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,20-237,DAL,,WAS,W (+8),1,33:31,12,19,.632,4,9,.444,6,8,.750,1,8,9,3,2,0,6,4,34,24.3,0
2,2019-10-25,20-239,DAL,@,NOP,W (+7),1,37:41,10,19,.526,3,9,.333,2,2,1.000,1,9,10,10,2,0,3,1,25,24.7,+12
3,2019-10-27,20-241,DAL,,POR,L (-2),1,37:42,8,22,.364,2,11,.182,11,14,.786,1,11,12,9,3,0,4,4,29,23.3,+5
4,2019-10-29,20-243,DAL,@,DEN,W (+3),1,32:30,3,12,.250,1,6,.167,5,8,.625,2,2,4,5,2,0,4,1,12,6.7,-17
5,2019-11-01,20-246,DAL,,LAL,L (-9),1,38:08,10,23,.435,4,9,.444,7,8,.875,1,12,13,15,0,1,6,3,31,26.8,-4
6,2019-11-03,20-248,DAL,@,CLE,W (+20),1,33:33,9,17,.529,5,10,.500,6,6,1.000,4,10,14,15,0,0,5,2,29,31.2,+15
7,2019-11-06,20-251,DAL,,ORL,W (+1),1,37:26,10,21,.476,1,7,.143,6,7,.857,2,5,7,7,0,0,6,3,27,16.5,+6
8,2019-11-08,20-253,DAL,,NYK,L (-4),1,35:13,13,26,.500,3,11,.273,9,9,1.000,1,13,14,10,0,0,8,5,38,26.6,-5
9,2019-11-09,20-254,DAL,@,MEM,W (+16),1,28:41,9,16,.563,2,6,.333,4,5,.800,3,11,14,8,2,0,2,0,24,27.0,+1
10,2019-11-11,20-256,DAL,@,BOS,L (-10),1,33:47,11,21,.524,3,10,.300,9,10,.900,0,6,6,9,0,0,1,2,34,29.6,-17
