game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,25-170,NYK,@,SAS,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,25-172,NYK,@,BRK,L (-4),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,25-173,NYK,,BOS,L (-23),0,3:38,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+2
,2019-10-28,25-175,NYK,,CHI,W (+7),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-30,25-177,NYK,@,ORL,L (-12),0,13:04,0,0,,0,0,,2,3,.667,0,2,2,2,0,0,1,1,2,2.2,+10
,2019-11-01,25-179,NYK,@,BOS,L (-2),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-03,25-181,NYK,,SAC,L (-21),0,4:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-2
4,2019-11-06,25-184,NYK,@,DET,L (-20),0,3:43,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+4
5,2019-11-08,25-186,NYK,@,DAL,W (+4),0,6:43,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3,0.9,+7
6,2019-11-10,25-188,NYK,,CLE,L (-21),0,21:15,4,11,.364,2,6,.333,0,0,,0,1,1,1,1,1,0,0,10,6.6,+2
