game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-074,DET,@,IND,W (+9),1,40:48,12,18,.667,0,1,.000,8,10,.800,7,16,23,2,3,4,2,4,32,36.7,+4
2,2019-10-24,26-075,DET,,ATL,L (-17),1,36:45,8,12,.667,0,0,,5,6,.833,1,11,12,2,4,1,4,4,21,19.9,-15
3,2019-10-26,26-077,DET,,PHI,L (-6),1,24:38,5,10,.500,0,0,,3,10,.300,3,9,12,1,0,2,2,6,13,7.7,-1
4,2019-10-28,26-079,DET,,IND,W (+2),1,38:18,8,15,.533,0,1,.000,2,3,.667,4,14,18,1,0,2,6,3,18,12.2,+3
5,2019-10-30,26-081,DET,@,TOR,L (-12),1,35:20,10,17,.588,0,0,,1,2,.500,8,14,22,3,0,1,5,4,21,18.7,-22
6,2019-11-01,26-083,DET,@,CHI,L (-6),1,35:06,11,17,.647,0,2,.000,3,5,.600,6,18,24,2,2,3,5,4,25,25.2,-8
7,2019-11-02,26-084,DET,,BRK,W (+4),1,38:51,10,16,.625,0,1,.000,5,6,.833,3,17,20,6,3,5,4,4,25,29.7,+8
8,2019-11-04,26-086,DET,@,WAS,L (-16),1,38:49,6,20,.300,0,1,.000,3,3,1.000,8,16,24,4,2,2,4,5,15,14.0,-5
9,2019-11-06,26-088,DET,,NYK,W (+20),1,34:54,12,16,.750,0,0,,3,4,.750,4,8,12,7,1,0,4,1,27,26.9,+24
10,2019-11-08,26-090,DET,@,IND,L (-6),1,33:36,6,14,.429,0,2,.000,3,4,.750,1,12,13,8,0,1,4,5,15,11.8,+9
11,2019-11-11,26-093,DET,,MIN,L (-6),1,29:00,4,12,.333,0,0,,3,3,1.000,8,4,12,1,4,3,3,5,11,12.8,+8
