game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,31-328,NYK,@,SAS,L (-9),0,12:56,1,4,.250,1,4,.250,0,0,,0,1,1,1,0,1,2,1,3,-0.1,-13
2,2019-10-25,31-330,NYK,@,BRK,L (-4),0,11:14,3,4,.750,3,4,.750,0,0,,0,2,2,0,0,0,2,0,9,6.0,+5
,2019-10-26,31-331,NYK,,BOS,L (-23),,,,,,,,,,,,,,,,,,,,,,
3,2019-10-28,31-333,NYK,,CHI,W (+7),0,21:47,3,8,.375,2,7,.286,0,0,,0,2,2,2,0,0,0,0,8,5.6,+21
4,2019-10-30,31-335,NYK,@,ORL,L (-12),1,19:10,1,8,.125,0,5,.000,0,1,.000,0,2,2,0,0,0,0,1,2,-3.4,-17
5,2019-11-01,31-337,NYK,@,BOS,L (-2),0,24:25,3,10,.300,3,10,.300,0,0,,0,5,5,3,1,0,1,2,9,6.0,+8
6,2019-11-03,31-339,NYK,,SAC,L (-21),0,24:54,1,4,.250,1,4,.250,0,0,,0,1,1,1,1,0,1,4,3,0.0,-3
7,2019-11-06,31-342,NYK,@,DET,L (-20),0,14:19,1,5,.200,0,4,.000,0,0,,0,0,0,2,0,0,0,0,2,0.3,-8
,2019-11-08,31-344,NYK,@,DAL,W (+4),,,,,,,,,,,,,,,,,,,,,,
8,2019-11-10,31-346,NYK,,CLE,L (-21),0,8:30,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,2,1,3,0.2,-5
