game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,22-264,SAS,,NYK,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,22-267,SAS,,WAS,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,22-269,SAS,,POR,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-31,22-272,SAS,@,LAC,L (-6),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,22-273,SAS,@,GSW,W (+17),0,1:58,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,1,1,0,-1.1,-3
,2019-11-03,22-275,SAS,,LAL,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,22-277,SAS,@,ATL,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,22-279,SAS,,OKC,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,22-281,SAS,,BOS,L (-20),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,22-283,SAS,,MEM,L (-4),,,,,,,,,,,,,,,,,,,,,,
