game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,22-128,GSW,,LAC,L (-19),0,21:43,5,9,.556,4,6,.667,0,0,,1,3,4,1,0,0,0,1,14,11.6,+3
2,2019-10-27,22-131,GSW,@,OKC,L (-28),0,18:15,0,3,.000,0,2,.000,4,4,1.000,0,0,0,1,0,0,1,1,4,1.2,-13
3,2019-10-28,22-132,GSW,@,NOP,W (+11),0,3:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
,2019-10-30,22-134,GSW,,PHO,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,22-136,GSW,,SAS,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,22-137,GSW,,CHO,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,22-139,GSW,,POR,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,22-141,GSW,@,HOU,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,22-143,GSW,@,MIN,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,22-144,GSW,@,OKC,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,22-146,GSW,,UTA,L (-14),,,,,,,,,,,,,,,,,,,,,,
