game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,28-099,NOP,@,TOR,L (-8),1,20:46,3,6,.500,0,0,,0,0,,1,6,7,2,0,1,1,5,6,4.6,-12
2,2019-10-25,28-102,NOP,,DAL,L (-7),1,21:35,8,10,.800,0,0,,0,0,,3,4,7,2,0,0,2,2,16,14.1,-2
3,2019-10-26,28-103,NOP,@,HOU,L (-3),1,18:25,2,5,.400,0,1,.000,0,0,,3,2,5,2,1,0,4,2,4,1.6,-9
,2019-10-28,28-105,NOP,,GSW,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-10-31,28-108,NOP,,DEN,W (+15),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,28-110,NOP,@,OKC,L (-11),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-04,28-112,NOP,@,BRK,L (-10),0,8:14,0,1,.000,0,0,,0,2,.000,1,3,4,1,0,0,2,0,0,-1.2,-5
5,2019-11-08,28-116,NOP,,TOR,L (-18),0,18:46,2,4,.500,0,0,,0,0,,6,5,11,1,0,0,1,1,4,7.0,-10
6,2019-11-09,28-117,NOP,@,CHO,W (+5),1,29:16,5,10,.500,0,0,,0,0,,3,7,10,3,2,0,1,3,10,11.1,+10
7,2019-11-11,28-119,NOP,,HOU,L (-6),1,29:15,6,8,.750,0,0,,1,1,1.000,5,7,12,3,2,2,1,4,13,18.3,+7
