game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-159,OKC,@,UTA,L (-5),1,23:51,0,0,,0,0,,2,2,1.000,1,1,2,1,0,0,1,2,2,1.9,-9
2,2019-10-25,21-161,OKC,,WAS,L (-12),1,22:03,0,4,.000,0,3,.000,0,0,,2,2,4,0,0,1,1,4,0,-2.7,+1
3,2019-10-27,21-163,OKC,,GSW,W (+28),1,29:50,5,7,.714,3,4,.750,0,0,,0,2,2,4,0,0,1,2,13,11.7,+30
4,2019-10-28,21-164,OKC,@,HOU,L (-4),1,18:39,0,1,.000,0,1,.000,0,0,,1,1,2,1,2,0,1,3,0,0.8,-25
5,2019-10-30,21-166,OKC,,POR,L (-3),1,34:35,1,4,.250,0,2,.000,0,0,,0,3,3,0,1,1,1,3,2,0.0,-13
6,2019-11-02,21-169,OKC,,NOP,W (+11),1,5:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,+3
7,2019-11-05,21-172,OKC,,ORL,W (+8),1,22:45,2,3,.667,1,2,.500,0,0,,0,0,0,1,0,0,0,5,5,2.4,+10
8,2019-11-07,21-174,OKC,@,SAS,L (-9),1,20:47,2,5,.400,1,2,.500,1,1,1.000,1,2,3,0,0,1,0,2,6,4.5,-8
9,2019-11-09,21-176,OKC,,GSW,W (+6),1,20:27,3,4,.750,2,2,1.000,0,0,,1,1,2,2,0,0,1,4,8,6.2,-10
10,2019-11-10,21-177,OKC,,MIL,L (-2),1,24:07,2,6,.333,1,5,.200,0,0,,0,1,1,1,0,1,0,1,5,2.9,-8
