game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-172,DAL,,WAS,W (+8),0,32:12,1,4,.250,1,3,.333,7,8,.875,2,6,8,1,0,1,0,0,10,11.8,+18
2,2019-10-25,26-174,DAL,@,NOP,W (+7),1,21:39,3,8,.375,0,4,.000,1,4,.250,3,3,6,2,1,0,1,1,7,5.4,+5
3,2019-10-27,26-176,DAL,,POR,L (-2),0,28:53,2,6,.333,1,3,.333,1,2,.500,4,5,9,0,1,0,2,3,6,4.3,+11
4,2019-10-29,26-178,DAL,@,DEN,W (+3),1,23:28,5,7,.714,2,2,1.000,0,0,,1,0,1,0,0,0,0,3,12,8.6,-2
5,2019-11-01,26-181,DAL,,LAL,L (-9),1,31:30,3,8,.375,1,5,.200,0,0,,5,5,10,1,3,0,4,4,7,5.7,-12
6,2019-11-03,26-183,DAL,@,CLE,W (+20),0,23:04,4,7,.571,1,3,.333,1,1,1.000,1,4,5,0,0,0,0,2,10,7.8,+9
7,2019-11-06,26-186,DAL,,ORL,W (+1),1,28:33,1,3,.333,1,2,.500,1,2,.500,2,4,6,0,1,0,2,1,4,3.1,-5
8,2019-11-08,26-188,DAL,,NYK,L (-4),1,21:42,1,4,.250,1,4,.250,0,0,,1,2,3,1,0,0,0,1,3,2.2,-3
9,2019-11-09,26-189,DAL,@,MEM,W (+16),1,24:20,5,9,.556,1,4,.250,0,0,,2,1,3,1,1,1,2,1,11,8.4,-4
10,2019-11-11,26-191,DAL,@,BOS,L (-10),1,26:03,4,9,.444,1,5,.200,0,0,,0,4,4,1,0,0,2,2,9,3.4,-9
