game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-092,SAS,,NYK,W (+9),1,32:31,7,12,.583,3,6,.500,3,3,1.000,0,5,5,1,0,0,0,2,20,15.8,+4
2,2019-10-26,26-095,SAS,,WAS,W (+2),1,32:02,6,14,.429,4,9,.444,0,0,,3,1,4,3,0,0,3,2,16,9.3,+3
3,2019-10-28,26-097,SAS,,POR,W (+3),1,29:05,4,11,.364,2,6,.333,4,4,1.000,0,7,7,0,0,0,0,2,14,9.2,-16
4,2019-10-31,26-100,SAS,@,LAC,L (-6),1,24:56,3,8,.375,2,4,.500,1,1,1.000,0,0,0,0,0,0,1,2,9,2.8,-16
5,2019-11-01,26-101,SAS,@,GSW,W (+17),1,26:24,5,13,.385,3,9,.333,1,1,1.000,0,2,2,1,1,0,0,1,14,8.8,+3
6,2019-11-03,26-103,SAS,,LAL,L (-7),1,26:46,4,13,.308,1,8,.125,3,3,1.000,0,3,3,3,3,0,0,1,12,10.1,-10
7,2019-11-05,26-105,SAS,@,ATL,L (-8),1,31:26,6,16,.375,2,9,.222,3,5,.600,0,2,2,1,0,0,0,0,17,8.7,-6
8,2019-11-07,26-107,SAS,,OKC,W (+9),1,22:32,5,10,.500,4,7,.571,0,0,,0,6,6,2,0,0,2,5,14,8.2,+2
9,2019-11-09,26-109,SAS,,BOS,L (-20),1,20:40,4,11,.364,3,7,.429,3,3,1.000,1,0,1,2,0,0,1,2,14,8.2,-15
10,2019-11-11,26-111,SAS,,MEM,L (-4),1,27:52,5,12,.417,4,9,.444,0,0,,0,1,1,1,0,0,1,2,14,6.8,-2
